,country,year,sex,suicides_rate
747,Brazil,2010,male,59.35
748,Brazil,2011,female,13.02
749,Brazil,2011,male,59.38999999999999
750,Brazil,2012,female,13.870000000000001
751,Brazil,2012,male,60.58
752,Brazil,2013,female,13.56
753,Brazil,2013,male,59.85
754,Brazil,2014,female,13.239999999999998
755,Brazil,2014,male,59.89000000000001
756,Brazil,2015,female,14.06
757,Brazil,2015,male,63.39000000000001
758,Bulgaria,1985,female,78.77
759,Bulgaria,1985,male,224.35
760,Bulgaria,1986,female,80.14999999999999
761,Bulgaria,1986,male,195.33
762,Bulgaria,1987,female,79.21000000000001
763,Bulgaria,1987,male,229.18999999999997
764,Bulgaria,1988,female,79.33000000000001
765,Bulgaria,1988,male,213.16
766,Bulgaria,1989,female,74.8
767,Bulgaria,1989,male,217.38999999999996
768,Bulgaria,1990,female,71.84999999999998
769,Bulgaria,1990,male,184.57999999999998
770,Bulgaria,1991,female,62.57000000000001
771,Bulgaria,1991,male,206.36999999999998
772,Bulgaria,1992,female,78.43999999999998
773,Bulgaria,1992,male,232.16
774,Bulgaria,1993,female,82.8
775,Bulgaria,1993,male,195.56000000000003
776,Bulgaria,1994,female,74.64
777,Bulgaria,1994,male,213.75
778,Bulgaria,1995,female,72.46
779,Bulgaria,1995,male,205.39
780,Bulgaria,1996,female,74.39
781,Bulgaria,1996,male,221.80999999999995
782,Bulgaria,1997,female,78.43999999999998
783,Bulgaria,1997,male,197.92
784,Bulgaria,1998,female,86.36
